name,birthday,nationality
Ouro Silva,1985-03-12,BRAZIL
Brad Pitt,1963-12-18,USA
Angelina Jolie,1975-06-04,USA
Tom Hanks,1956-07-09,USA
Morgan Freeman,1937-06-01,USA
Robert De Niro,1943-08-17,USA
Al Pacino,1940-04-25,USA
Scarlett Johansson,1984-11-22,USA
Jennifer Lawrence,1990-08-15,USA
Will Smith,1968-09-25,USA
Johnny Depp,1963-06-09,USA
Keanu Reeves,1964-09-02,USA
Christian Bale,1974-01-30,USA
Matt Damon,1970-10-08,USA
Ben Affleck,1972-08-15,USA
Natalie Portman,1981-06-09,USA
Anne Hathaway,1982-11-12,USA
Meryl Streep,1949-06-22,USA
Denzel Washington,1954-12-28,USA
Samuel L. Jackson,1948-12-21,USA
Chris Evans,1981-06-13,USA
Chris Hemsworth,1983-08-11,USA
Mark Ruffalo,1967-11-22,USA
Ryan Gosling,1980-11-12,USA
Ryan Reynolds,1976-10-23,USA
Hugh Jackman,1968-10-12,USA
Joaquin Phoenix,1974-10-28,USA
Emma Stone,1988-11-06,USA
Zendaya,1996-09-01,USA
Margot Robbie,1990-07-02,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Fernanda Torres,1965-09-15,BRAZIL
Sonia Braga,1950-06-08,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Cauã Reymond,1980-05-20,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Paulo José,1937-03-20,BRAZIL
Matheus Nachtergaele,1969-01-03,BRAZIL
Tony Ramos,1948-08-15,BRAZIL
Juliana Paes,1979-03-26,BRAZIL
Débora Falabella,1979-02-22,BRAZIL
Leandra Leal,1982-09-08,BRAZIL
Marco Pigossi,1989-02-07,BRAZIL
Ricardo Darín,1957-01-16,ARG
Guillermo Francella,1955-02-14,ARG
Norma Aleandro,1936-05-02,ARG
Leonardo Sbaraglia,1970-06-30,ARG
Cecilia Roth,1956-08-08,ARG
Darío Grandinetti,1959-03-05,ARG
Oscar Martínez,1949-12-10,ARG
Luis Brandoni,1940-04-18,ARG
Diego Peretti,1963-10-10,ARG
Ricardo Arjona Jr,1984-01-01,ARG
